"Name";"English name";"Other name";"Genres";"Synopsis";"Type";"Episodes";"Aired";"Year";"Status";"Producers";"Licensors";"Studios";"Source";"Duration";"Image URL"
"ARP Backstage Pass: Paradise";"UNKNOWN";"ARP Backstage Pass Paradise";"UNKNOWN";"Unaired episode included with volume 4 of the Bluray/DVD.";"Special";"1";"2020/07/13";"2020.0";"Finished Airing";"UNKNOWN";"UNKNOWN";"Dynamo Pictures";"Other";"23";"https://cdn.myanimelist.net/images/anime/1108/107861.jpg"
"The Miracle";"The Miracle";"the MIRACLE";"UNKNOWN";"No description available for this anime.";"Music";"1";"2020/03/26";"2020.0";"Finished Airing";"UNKNOWN";"UNKNOWN";"UNKNOWN";"Original";"3";"https://cdn.myanimelist.net/images/anime/1141/132644.jpg"
"Majutsushi Orphen Hagure Tabi: Kimluck-hen";"Sorcerous Stabber Orphen: Battle of Kimluck";"魔術士オーフェンはぐれ旅 キムラック編";"Action, Adventure, Drama, Fantasy";"Second season of Majutsushi Orphen Hagure Tabi. Orphen, who now knows Azalie's true motive, heads to the holy city of Kimluck. However, a fierce battle with the ""Death Teacher"" awaits him.";"TV";"11";"2021/01/20";"2021.0";"Finished Airing";"Genco, Lantis, MediaNet Pictures";"Funimation";"Studio Deen";"Light novel";"23";"https://cdn.myanimelist.net/images/anime/1579/113945.jpg"
"Guraburu!";"Grand Blues!";"ぐらぶるっ！";"Adventure, Fantasy";"Anime adaptation of Guraburu!, which is 4-koma manga of Granblue Fantasy.";"TV";"12";"2020/10/08";"2020.0";"Finished Airing";"dugout";"UNKNOWN";"W-Toon Studio, DMM.futureworks";"4-koma manga";"3";"https://cdn.myanimelist.net/images/anime/1870/119993.jpg"
"number24 Recap";"UNKNOWN";"ナンバー・トゥーフォー 総集編";"Sports";"Recap of the first ten episodes of number24 series.";"Special";"1";"2020/04/01";"2020.0";"Finished Airing";"UNKNOWN";"UNKNOWN";"PRA";"Original";"23";"https://cdn.myanimelist.net/images/anime/1220/106820.jpg"
"Boku no Hero Academia 5th Season";"My Hero Academia Season 5";"僕のヒーローアカデミア";"Action";"UA Academy's Class 1-A has been the focus of a substantial amount of public attention due to the multiple villain attacks they have faced over the past school year. This attention has left Class 1-A's rivals, Class 1-B, feeling quite bitter. Desiring to prove their skills, they look forward to the opportunity that has been given to them: a set of mock battles between the students of each class.

The classes are split into squads of four, each of which is tasked with capturing the other group members. The winner is the group who first secures all of the opposing team. While this sounds simple, a curveball is thrown into the mix with the inclusion of General Course Student Hitoshi Shinsou, who wishes to transfer into the Hero Course. Despite using his training with Class 1-A's homeroom teacher Shouta ""Eraserhead"" Aizawa to prove that he's capable of being a real hero, he is still far behind the others due to his lack of experience. However, Shinsou is determined to overcome this challenge.

Thus begins the fiery competition between Class 1-A and 1-B as each tries to prove that they are superior to the other.";"TV";"25";"2021/03/27";"2021.0";"Finished Airing";"Dentsu, Movic, Sony Music Entertainment, TOHO animation, Shueisha";"Funimation";"Bones";"Manga";"23";"https://cdn.myanimelist.net/images/anime/1911/113611.jpg"
"Tokyo Mew Mew New ♡";"Tokyo Mew Mew New";"東京ミュウミュウ にゅ～♡";"Fantasy, Romance, Sci-Fi";"Ichigo Momomiya is excited to start high school and fall in love. She is in luck when she meets the popular and good-looking Masaya Aoyama, and she immediately develops a crush on him. When Ichigo learns that Aoyama is passionate about the environment, she seizes the chance to ask him out thanks to some tickets to an exhibition about endangered animals.

During their date, Ichigo is struck by a mysterious light and faints. Waking up to the sight of Aoyama, she remains unharmed—but they both must escape from a giant rat-like creature after it injures Aoyama. To save her crush, Ichigo awakens her powers and transforms into a heroine with the skills of a cat.

After she defeats the monster, researchers Ryou Shirogane and Keiichiro Akasaka explain that Ichigo was chosen to become a part of the Mew Project: a group of five magical girls whose DNA has been infused with those of certain endangered species. Now, Ichigo must find the rest of her teammates to defeat the Chimera Anima—beings infected by aliens who want to take over the world—before it is too late.";"TV";"12";"2022/07/06";"2022.0";"Finished Airing";"TV Tokyo, Dentsu, Pony Canyon, Kodansha";"Sentai Filmworks";"Yumeta Company, Graphinica";"Manga";"24";"https://cdn.myanimelist.net/images/anime/1001/116687.jpg"
"Tiger & Bunny 2";"UNKNOWN";"TIGER & BUNNY 2";"Action, Comedy, Mystery";"With Kotetsu back on the First League, the buddy system is now the big new project of HeroTV. Two heroes fighting crime back to back due to the popularity of the famous duo: Wild Tiger and Barnaby Brooks Jr.

With new heroes protecting Sternbild City, the ability of both veteran and rookies will be put to the test as they find what it means to rely on others to do to what is best for the city they are trying to protect.";"ONA";"13";"2022/04/08";"2022.0";"Finished Airing";"Bandai Namco Entertainment, Toy's Factory, ADK Marketing Solutions";"UNKNOWN";"Bandai Namco Pictures";"Original";"24";"https://cdn.myanimelist.net/images/anime/1678/121388.jpg"
"Wan Sheng Jie";"All Saints Street";"万聖街";"Comedy, Supernatural";"In this world, angels, demons, and other supernatural beings peacefully coexist with humans. Neil Bowman is a demon who is unlike most; he is mesmerized with human culture, and no matter how hard he tries, he can't do anything evil. Thus, he runs away from Hell and up to Earth.

Neil moves in with his online friend and vampire, Ira Blood, along with Ira's many roommates. Despite coming to Earth to meet humans, Neil discovers that not a single one of his new roommates is actually human. Along with Ira, there's Lynn Angel, the stern angel landlord; Lynn's little sister, Lily, who falls from Heaven; Abu, a mummy who never speaks; and Vladimir Eliot Kirilenko, a werewolf tasked with monitoring Neil.

What most of them don't realize—not even Neil himself—is that Neil possesses the powers of the Demon King. What effect will this have on the residents of Apartment 1031 on All Saints Street?";"ONA";"12";"2020/04/01";"2020.0";"Finished Airing";"Tencent Penguin Pictures, Tianwen Kadokawa Animation & Comics";"Aniplex of America";"Fenz, HMCH";"Web manga";"4";"https://cdn.myanimelist.net/images/anime/1854/106930.jpg"
"Munou na Nana";"Talentless Nana";"無能なナナ";"Supernatural, Suspense";"Fifty years ago, horrific creatures dubbed as the ""enemies of humanity"" suddenly appeared around the world. To combat these threats, teenagers gifted with supernatural abilities called ""Talents""—such as pyrokinesis and time travel—hone their powers at an academy on a secluded island. 

Nanao Nakajima, however, is quite different from the others on the island: he has no Talent. With many ""Talented"" teenagers around him, Nanao is often a target for bullying, but even so, he still strives to complete his training. Soon after, two transfer students, the mysterious Kyouya Onodera and the mind-reading Nana Hiiragi, join the class. But just as everyone starts blending as comrades-in-arms, mysterious disappearances begin to threaten the class's entire foundation.";"TV";"13";"2020/10/04";"2020.0";"Finished Airing";"Square Enix, AT-X, Nippon Columbia, BS Fuji, Hakuhodo DY Music & Pictures, Docomo Anime Store, Yomiuri TV Enterprise, Kanon Sound, NichiNare, Kadokawa, Show Corporation";"Funimation, Muse Communication";"Bridge";"Manga";"23";"https://cdn.myanimelist.net/images/anime/1301/110433.jpg"
"Isekai Maou to Shoukan Shoujo no Dorei Majutsu Ω";"How Not to Summon a Demon Lord Ω";"異世界魔王と召喚少女の奴隷魔術Ω";"Comedy, Fantasy, Ecchi";"The Demon King Diablo is back as... God? A fateful encounter with the High Priest Lumachina Weselia finds Diablo and his party accompanying this mysterious stranger on a journey to cleanse the Church of its corruption. Believed to be God by Lumachina, Diablo eventually decides to protect her on her initial quest to find the head paladin, the virtuous Batutta.

Diablo, Rem, Shera and Lumachina are joined by the grasswalker, Horn and the Magmatic Maid, Rose. Will Diablo fulfil Lumachina's wish? And can the Demon Lord from Another World truly play the role of God?";"TV";"10";"2021/04/09";"2021.0";"Finished Airing";"TBS, Kodansha, Half H.P Studio, KlockWorx, 81 Produce, Avex Pictures, Crunchyroll, GREE";"Funimation";"Tezuka Productions, Okuruto Noboru";"Light novel";"24";"https://cdn.myanimelist.net/images/anime/1011/113703.jpg"
"Wang Gu Shenhua Zhi Tian Xuanzhe";"METAMAN";"望古神话之天选者";"Action, Sci-Fi";"In the year 2115 of the Fortress, Wei Qin, commander of the border troops, went to the Fortress to participate in the selection of the elected official and to secretly investigate those responsible for the Border incident.  At the same time, the No. 1 public enemy, Yuan Yi, launched a major revolt.  As the plot progresses, all parties are involved in this quest.  How is Wei Qin going to sort out the true from the false and bring the truth out?

(Source: Exodus Chaos)";"ONA";"12";"2020/04/07";"2020.0";"Finished Airing";"bilibili, Chongzhuo Animation";"UNKNOWN";"Congzhuo Animation";"Original";"20";"https://cdn.myanimelist.net/images/anime/1915/106921.jpg"
"Puso Ni Comi: Okawari";"Puso Ni Comi: Okawari";"ぷそ煮コミおかわり";"Comedy";"A second season of Puso Ni Comi, once again following the in-game avatars of the cast.";"ONA";"26";"2020/04/07";"2020.0";"Finished Airing";"Sega";"UNKNOWN";"Point Pictures";"Web manga";"4";"https://cdn.myanimelist.net/images/anime/1466/106923.jpg"
"Bite-Choicar";"Bite-Choicar";"바이트 초이카";"UNKNOWN";"Chashin was selected by the legendary choicar ""Stormbone,"" as the strongest racer, and will showcase a new concept of bite racing.

Bite racing is a new racing game that never hits a rail with two cars chasing in a match. The bite-free rail running on the track creates a more realistic racing experience. Various types of super cars such as speed type, balance type, and power type create unique racing on 3 types of tracks (crash track, line track, outdoor race).

(Source: enewstoday.co.kr)";"TV";"26";"2020/04/18";"2020.0";"Finished Airing";"UNKNOWN";"UNKNOWN";"UNKNOWN";"Original";"30";"https://cdn.myanimelist.net/images/anime/1656/106927.jpg"
"Voltage";"UNKNOWN";"VOLTAGE";"UNKNOWN";"Music video for the Voltage the 1st track from the ""Synesthesia"" mini album released by Rain Drops.";"Music";"1";"2020/04/10";"2020.0";"Finished Airing";"Universal Music Japan";"UNKNOWN";"UNKNOWN";"Unknown";"4";"https://cdn.myanimelist.net/images/anime/1240/115400.jpg"
"Sunoko-tan. Promotion Anime";"UNKNOWN";"すのこタン。プロモーションアニメ";"Comedy";"A new 90-second promotional video featuring Sunoko-tan, Alumi-san, Namae-chan, and Ku-chan, characters created by a metal production company in Niigata Prefecture.";"Special";"1";"2020/01/09";"2020.0";"Finished Airing";"UNKNOWN";"UNKNOWN";"UNKNOWN";"Other";"1";"https://cdn.myanimelist.net/images/anime/1532/115401.jpg"
"Kabukichou Sherlock OVA";"Case File nº221: Kabukicho OVA";"歌舞伎町シャーロック";"Comedy, Drama, Mystery";"A fun collection of six short side stories depicting the past and present of Sherlock, Watson, Moriarty, and the rest of the Row House as they go about their everyday lives in their home of Kabukicho.";"OVA";"6";"2020/08/26";"2020.0";"Finished Airing";"UNKNOWN";"UNKNOWN";"Production I.G";"Original";"4";"https://cdn.myanimelist.net/images/anime/1456/108076.jpg"
"Yesterday wo Utatte: Haishin-ban Episode";"UNKNOWN";"イエスタデイをうたって 配信版エピソード";"Drama, Romance";"While Shinako Morinome spends the quietest hours of each night reminiscing about her late friend, Rikuo Uozumi's monotonous days gain a little bit of color due to Haru Nonaka's bright presence. Although he pretends to be indifferent, Rikuo is thankful for how Haru changes his life.";"ONA";"6";"2020/04/05";"2020.0";"Finished Airing";"UNKNOWN";"UNKNOWN";"Doga Kobo";"Manga";"2";"https://cdn.myanimelist.net/images/anime/1919/107275.jpg"
"Aria the Crepuscolo";"UNKNOWN";"ARIA The CREPUSCOLO";"Fantasy, Sci-Fi, Slice of Life";"The season is fall and the city of Neo-Venezia is covered in fallen leaves. Something is bothering Anya, who works at Orange Planet. Her senior colleagues Alice and Athena haven't seen each other due to their busy schedules, which is making Athena feel sad. But for some reason, Alice seems to be avoiding her altogether. With her friends Ai and Azusa's help, Anya tries to find a definitive way for Alice and Athena to get together. But during this time, Anya learns of a situation that only she can see because of where she stands.

(Source: Shochiku)";"Movie";"1";"2021/03/05";"2021.0";"Finished Airing";"Shochiku";"UNKNOWN";"J.C.Staff";"Manga";"60";"https://cdn.myanimelist.net/images/anime/1934/111002.jpg"
"Oka Shika Chika Ika Saka";"UNKNOWN";"丘シカ地下イカ坂";"UNKNOWN";"Music video for the song Oka Shika Chika Ika Saka by Japanese band SAKANAMON that was featured on NHK's Minna no Uta program. The video was animated by Manabu Himeda.";"Music";"1";"2020/04/01";"2020.0";"Finished Airing";"NHK";"UNKNOWN";"UNKNOWN";"Original";"2";"https://cdn.myanimelist.net/images/anime/1106/107032.jpg"
"Zo Zo Zo Zombie-kun (TV)";"Zo Zo Zombie";"ゾゾゾ ゾンビーくん";"Comedy";"A gag comedy aimed at young children featuring Zombie-kun, a child zombie, and his interactions with the world. It's not intended to be scary in the slightest, but rather, it focuses on the comical and bizarre things Zombie-kun's body can do, and the common-sense-defying way Zombie-kun behaves. For example, he'll take out his stomach and inflate it with air to use as a pillow, or if he gets wet, he'll detach parts of his body and wring them out like towels, then reattach them with a glue stick. Everything is depicted in a cute, cartoony fashion so as not to be too graphic for kids.

(Source: Baka-Updates)";"TV";"102";"2020/04/16";"2020.0";"Finished Airing";"Shogakukan-Shueisha Productions";"UNKNOWN";"J.C.Staff";"Manga";"3";"https://cdn.myanimelist.net/images/anime/1054/107129.jpg"
"Toutotsu ni Egypt Shin";"Oh, Suddenly Egyptian God";"とーとつにエジプト神";"Comedy, Fantasy";"During the day, the Egyptian gods take their jobs very seriously. However, in their spare time, the deities enjoy themselves as much as they can by partaking in a wide range of activities. Toutotsu ni Egypt Shin gives insight into the energetic lives of the gods and the sudden chaos they find themselves in on a daily basis.";"ONA";"10";"2020/12/07";"2020.0";"Finished Airing";"UNKNOWN";"UNKNOWN";"Typhoon Graphics";"Other";"5";"https://cdn.myanimelist.net/images/anime/1955/107042.jpg"
"Ushichichi Tabehoudai! The Animation";"UNKNOWN";"うしちち食べ放題!ジ・アニメーション";"Hentai";"No description available for this anime.";"ONA";"1";"2020/03/11";"2020.0";"Finished Airing";"UNKNOWN";"UNKNOWN";"UNKNOWN";"Manga";"21";"https://cdn.myanimelist.net/images/anime/1359/107878.jpg"
"Hataraku Saibou Black";"Cells at Work! CODE BLACK!";"はたらく細胞BLACK";"Action, Drama";"Due to poor lifestyle choices, a certain human's body is in constant turmoil. With germs, bacteria, and foreign substances abound, the jobs of various cells become increasingly difficult and dangerous. As some of the unfortunate ones who matured in this chaotic environment, Sekkekkyuu AA2153 and Hakkekkyuu U-1196 strive to fulfill their duties—even if it means seeing many of their fellow cells lose their lives in duty.

Set in an environment vastly different from its parent story, Hataraku Saibou Black portrays the cells' struggles as they try to maintain the body's health. However, the human's condition continues to deteriorate, and whether or not these efforts will amount to something concrete depends on the cells!";"TV";"13";"2021/01/10";"2021.0";"Finished Airing";"Aniplex, Kodansha, Studio Mausu, Tokyo MX, NetEase";"Aniplex of America";"LIDENFILMS";"Manga";"23";"https://cdn.myanimelist.net/images/anime/1837/110799.jpg"
"Genjitsu Shugi Yuusha no Oukoku Saikenki";"How a Realist Hero Rebuilt the Kingdom";"現実主義勇者の王国再建記";"Action, Fantasy, Romance";"After the death of his grandfather, 19-year-old Kazuya Souma—an aspiring civil servant—is left all alone with no one to call family. Out of the blue, he is transported to the Elfrieden Kingdom, a small ailing country in another world, to be a ""hero."" An ongoing war with the demon army has put the entire world in peril, and Kazuya was summoned to aid in the conflict as an offering from Elfrieden to its allies.

Dissatisfied with being used as tribute, Kazuya decides to help the kingdom revamp its declining economy—not by way of adventuring or war, but through administrative reform. Abruptly declared the King of Elfrieden and betrothed to the princess, the ""Realist Hero"" Kazuya sets out to assemble a group of talented citizens who will assist him in his bureaucratic battles to get the kingdom back on its feet.";"TV";"13";"2021/07/04";"2021.0";"Finished Airing";"King Records, WOWMAX";"Funimation";"J.C.Staff";"Light novel";"24";"https://cdn.myanimelist.net/images/anime/1297/118764.jpg"
"Soukyuu no Fafner: Dead Aggressor - The Beyond Part 3";"UNKNOWN";"蒼穹のファフナー Dead Aggressor THE BEYOND";"Action, Drama, Sci-Fi";"Episodes 7-9 of the Soukyuu no Fafner: Dead Aggressor - The Beyond series.";"Movie";"3";"2020/11/13";"2020.0";"Finished Airing";"King Records";"UNKNOWN";"Production I.G, I.Gzwei";"Original";"26";"https://cdn.myanimelist.net/images/anime/1023/107083.jpg"
"Jintai no Survival!";"UNKNOWN";"人体のサバイバル!";"Action, Comedy";"No description available for this anime.";"Movie";"1";"2020/07/31";"2020.0";"Finished Airing";"UNKNOWN";"UNKNOWN";"Toei Animation, Gallop";"Manga";"46";"https://cdn.myanimelist.net/images/anime/1419/108415.jpg"
"Koukaku Kidoutai: SAC_2045 Season 2";"Ghost in the Shell: SAC_2045 Season 2";"攻殻機動隊 SAC_2045 シーズン２";"Action, Mystery, Sci-Fi";"Second season of Koukaku Kidoutai: SAC_2045.";"ONA";"12";"2022/05/23";"2022.0";"Finished Airing";"Dentsu, Kodansha, flying DOG, Bandai Namco Arts";"UNKNOWN";"Production I.G, Sola Digital Arts";"Manga";"24";"https://cdn.myanimelist.net/images/anime/1591/121960.jpg"
"Tenchi Souzou Design-bu";"Heaven's Design Team";"天地創造デザイン部";"Comedy, Fantasy";"In the beginning, God created the heavens and the earth. He also sought after a wide variety of animals to populate the planet. However, he felt that it was too tiresome to think of new ideas within his criteria. To address this problem, God appointed an organization—the Heaven's Design Team—to do the work instead!

Shimoda is a newly-hired angel who serves as the mediator between God and the design team. As he steps into his role, he witnesses his coworkers conceive interesting ideas for many unique life forms according to God's desires. From giraffes and snakes to birds, anteaters, and everything in between, the possibilities for different animal species are endless!";"TV";"12";"2021/01/07";"2021.0";"Finished Airing";"Dentsu, Kodansha, AT-X, Studio Mausu, BS Fuji, Tokyo MX, Avex Pictures, TV Aichi";"UNKNOWN";"Asahi Production";"Manga";"23";"https://cdn.myanimelist.net/images/anime/1339/113938.jpg"
"Yakou";"Night Journey";"夜行";"UNKNOWN";"A music video for the song Yakou by Yorushika.";"Music";"1";"2020/03/04";"2020.0";"Finished Airing";"UNKNOWN";"UNKNOWN";"UNKNOWN";"Original";"3";"https://cdn.myanimelist.net/images/anime/1710/108066.jpg"
"Oshiri Tantei 4th Season";"UNKNOWN";"おしりたんてい";"Comedy, Fantasy, Mystery";"Fourth season of Oshiri Tantei.";"TV";"13";"2020/04/04";"2020.0";"Finished Airing";"NHK";"UNKNOWN";"Toei Animation";"Picture book";"19";"https://cdn.myanimelist.net/images/anime/1229/107371.jpg"
"BanG Dream! Movie: Episode of Roselia - I: Yakusoku";"UNKNOWN";"劇場版 BanG Dream! Episode of Roselia I:約束";"UNKNOWN";"To reach the stage of ""FES."", Yukina Minato decides to form a band. Each holding their own convictions, the members of the band come together. The five girls now begin their journey to the top as Roselia... This is the story of their ""promise"" made to each other, from the start of the band to their challenge towards FUTURE WORLD FES!

(Source: Official Site)";"Movie";"1";"2021/04/23";"2021.0";"Finished Airing";"UNKNOWN";"UNKNOWN";"SANZIGEN";"Original";"77";"https://cdn.myanimelist.net/images/anime/1867/119189.jpg"
"BanG Dream! Movie: Episode of Roselia - II: Song I Am.";"UNKNOWN";"劇場版 BanG Dream! Episode of Roselia II:Song I am.";"UNKNOWN";"No description available for this anime.";"Movie";"1";"2021/06/25";"2021.0";"Finished Airing";"UNKNOWN";"UNKNOWN";"SANZIGEN";"Original";"70";"https://cdn.myanimelist.net/images/anime/1246/115689.jpg"
"BanG Dream! Movie: Poppin' Dream!";"BanG Dream! Poppin'Dream!";"劇場版 BanG Dream! ぽっぴん'どりーむ！";"UNKNOWN";"""Bands... are always making me dream.""

Poppin'Party, Roselia, and RAISE A SUILEN's successful concert at the Budokan has passed.
Kasumi and the others, who have left a lingering sound on the stage of their dreams, are approached by a mysterious woman.
Their next stage is overseas?!

Poppin'Party's music isn't stopping yet!

(Source: BanG Dream! Wiki)";"Movie";"1";"2022/01/01";"2022.0";"Finished Airing";"UNKNOWN";"UNKNOWN";"SANZIGEN";"Mixed media";"70";"https://cdn.myanimelist.net/images/anime/1856/119931.jpg"
"Iwa Kakeru! Sport Climbing Girls";"UNKNOWN";"いわかける！ -Sport Climbing Girls-";"Sports";"Video games, especially puzzle games, were always at the center of Konomi Kasahara's life. However, upon entering Hanamiya High School, she decides to break away from this lifestyle. As Konomi wanders the halls in search of a new activity to engage herself in, she stumbles upon a gigantic wall owned by the school's rock climbing team. Fascinated, she attempts to scale the wall, discovering that she can use her puzzle-solving skills to help her reach the top.

Certain that she has found her calling, Konomi immediately joins the club. As she strives to improve her climbing skills, Konomi, alongside the rest of the Hanamiya Climbing Team, will learn what it truly means to be a ""sports climber"" and work to achieve victory in the upcoming competitions.";"TV";"12";"2020/10/04";"2020.0";"Finished Airing";"Lantis, AT-X, Magic Capsule, KlockWorx, Nagoya Broadcasting Network, ABC Animation, Cygames, Bandai Namco Arts, Happinet, NetEase, Heart Company";"UNKNOWN";"Blade";"Web manga";"23";"https://cdn.myanimelist.net/images/anime/1626/108849.jpg"
"Ze Tian Ji 5th Season";"UNKNOWN";"择天记 第五季";"Action, Adventure, Fantasy";"The fifth season of Ze Tian Ji.";"ONA";"12";"2020/03/16";"2020.0";"Finished Airing";"Tencent Penguin Pictures, China Literature Limited";"UNKNOWN";"Foch Films";"Novel";"20";"https://cdn.myanimelist.net/images/anime/1705/107205.jpg"
"Hajimete no Orusuban";"UNKNOWN";"はじめてのおるすばん";"Hentai";"On a cold winter's night, a man finds two girls—Saori and Shiori Mizuki—seemingly lost in front of his apartment. Since then, the twins have gradually become attached to him, with one staying at his place while the other is at school. However, the sisters' relationship with him is not merely that of a babysitter and child because sometimes more mature events occur.";"OVA";"2";"2020/12/04";"2020.0";"Finished Airing";"Mary Jane";"UNKNOWN";"BreakBottle";"Visual novel";"17";"https://cdn.myanimelist.net/images/anime/1793/110579.jpg"
"Natsu ga Owaru made The Animation";"UNKNOWN";"夏が終わるまで The Animation";"Hentai";"Yui and Kou have been childhood friends for longer than anyone can remember. As they became adults they also became lovers. They couldn't keep their hands off of each other, having sex in just about any place imaginable, including at school.

Unfortunately for them, the person in charge of the school cameras decided to blackmail them.

Now Yui has no option other than to obey her teacher or he will let the videos go viral. However, she slowly becomes addicted to her teacher.";"OVA";"2";"2020/07/31";"2020.0";"Finished Airing";"Showten";"UNKNOWN";"BreakBottle";"Manga";"17";"https://cdn.myanimelist.net/images/anime/1065/107875.jpg"
"Kohakuiro no Hunter The Animation";"UNKNOWN";"琥珀色のハンター THE ANIMATION";"Hentai";"Fame and fortune await those courageous enough to venture into the remote sectors of the planet. Largely uninhabited and covered by dense forests, these monster-infested regions are abundant in a mysterious ore called the Nova Stone. The coveted stone overflows with energy, and those successful in their hunt are bound to acquire obscene amounts of wealth. Yet the frontier remains a dreadful place. The only ones capable of staving off imminent devastation to human settlements are the hunters. Since their weapons, powered by Nova Stone, are capable of vanquishing the beasts, these brave souls are tasked with the protection of otherwise defenseless towns.

Orphaned at a young age, Erika Amber was taken in by a huntress and raised as her successor. However, she is no ordinary human; her elven lineage has remained a mystery for Erika her entire life. Hoping to discover more about her ancestors, she ventures deep into the unexplored forests, leaving civilization behind. But before departing, she decides to visit Azul—the son of a recently deceased hunter—one last time. In a heart-to-heart talk, the boy reveals he admires the huntress and is deeply in love with her. As luck would have it, the feeling is mutual, and the memory of the passionate lovemaking that follows is likely to keep Erika warm during the long, chilly nights throughout her journey.";"OVA";"2";"2020/07/31";"2020.0";"Finished Airing";"Pink Pineapple";"UNKNOWN";"Seven";"Visual novel";"23";"https://cdn.myanimelist.net/images/anime/1931/111873.jpg"
"Wan Jie Chun Qiu";"Spring and Autumn";"万界春秋";"Action, Adventure, Fantasy, Romance";"Ye Chen, who is an ancient god, has fallen from the world of the gods to the world of the blue world. Here, hundreds of thousands of countries are standing, and the heroes are fighting for hegemony. Ye Chen has been in this pale blue world for hundreds of years and has established a huge force. In Baizhou Qianguo, the existence of Ye Chen has always been a legend. But the power from the world of the gods slowly extended to the blue world, and a cruel dragon battle is about to begin. In the capital city of Nanzhou, the first battle of Tianbei State, Hong Xu and the Wulong two men of Nanzhou Shuangyuemen Gate competed outside the Huashen Palace, but they were defeated in the hands of Su Xiaoxiao, the group leader of the Huashen Palace. The Northern Army emerged in the eastern part of southern South China and wanted to break South. The defender will disregard the safety of the people of Nanzhou and the hurricane, and intends to open the city gate to surrender

(Source: Narul Donghua)";"ONA";"56";"2020/04/13";"2020.0";"Finished Airing";"Tencent Penguin Pictures";"UNKNOWN";"Ruo Hong Culture";"Original";"8";"https://cdn.myanimelist.net/images/anime/1886/107254.jpg"
"Get Up! Get Live! #Geragera";"UNKNOWN";"GETUP! GETLIVE! #げらげら";"Comedy, Slice of Life";"The story of the ""voice actor x 2D entertainer"" project centers on aspiring comedian entertainers who all gather at SSS, a talent agency for comedians. The story portrays the friction and jealousy in their rivaling careers, as well as their admiration towards industry veterans, their disappointments, and the obstacles to their success as they aspire to become the greatest entertainers in Japan and the world.

(Source: ANN)";"TV";"10";"2020/07/11";"2020.0";"Finished Airing";"UNKNOWN";"UNKNOWN";"Spell Bound";"Other";"1";"https://cdn.myanimelist.net/images/anime/1523/108199.jpg"
"Megami-ryou no Ryoubo-kun.";"Mother of the Goddess' Dormitory";"女神寮の寮母くん。";"Comedy, Romance, Ecchi";"Twelve-year-old Koushi Nagumo's life suddenly goes downhill when his father abandons him after their house burns down. Left to fend for himself, Koushi collapses on the street, but an eccentric woman named Mineru Wachi takes pity on him and brings him to the female dormitory ""Megami-ryou.""

After learning of Koushi's situation, Mineru, who happens to be the temporary manager, invites him to become Megami-ryou's official dormitory mother. However, what awaits him are the dorm's residents—each with their own wacky shenanigans—like the androphobic yet gentle Atena Saotome, the feminine tomboy Kiriya Senshou, and Mineru herself, whose recklessness knows no bounds when it comes to science. Despite this, Koushi does his best to fulfill the duties of this crazy new life!";"TV";"10";"2021/07/14";"2021.0";"Finished Airing";"AT-X, Kadokawa Media House, Kadokawa";"Sentai Filmworks";"asread.";"Manga";"25";"https://cdn.myanimelist.net/images/anime/1436/116410.jpg"
"Kaijuu Step Wandabada 2nd Season";"UNKNOWN";"かいじゅうステップ ワンダバダ";"Comedy";"Second season of Kaijuu Step Wandabada.";"TV";"26";"2020/09/25";"2020.0";"Finished Airing";"Tsuburaya Productions, NHK Enterprises";"UNKNOWN";"Usagi Ou";"Picture book";"5";"https://cdn.myanimelist.net/images/anime/1934/109054.jpg"
"Soukyuu no Fafner: Dead Aggressor - The Beyond Part 4";"UNKNOWN";"蒼穹のファフナー Dead Aggressor THE BEYOND";"Action, Drama, Sci-Fi";"Episodes 10-12 of the Soukyuu no Fafner: Dead Aggressor - The Beyond  series.";"Movie";"3";"2021/11/05";"2021.0";"Finished Airing";"King Records";"UNKNOWN";"Production I.G, I.Gzwei";"Original";"24";"https://cdn.myanimelist.net/images/anime/1086/117890.jpg"
"Himitsu";"UNKNOWN";"秘密";"UNKNOWN";"There is two versions of this music video.

Both videos feature the same song, but one is sung by Hatsune Miku on Niconico, and the other is a self-cover from the author himself, Harumaki Gohan on Youtube.";"Music";"2";"2020/04/26";"2020.0";"Finished Airing";"UNKNOWN";"UNKNOWN";"Studio Gohan";"Original";"4";"https://cdn.myanimelist.net/images/anime/1871/107273.jpg"
"Soukou Seiki Ysphere: Ingyaku no Sennou Kaizou";"UNKNOWN";"装煌聖姫イースフィア ~淫虐の洗脳改造~";"Hentai";"No description available for this anime.";"OVA";"2";"2020/07/17";"2020.0";"Finished Airing";"Mediabank, Gold Bear";"UNKNOWN";"Anime Antenna Iinkai";"Visual novel";"28";"https://cdn.myanimelist.net/images/anime/1970/107873.jpg"
