"Name";"English name";"Other name";"Genres";"Synopsis";"Type";"Episodes";"Aired";"Year";"Status";"Producers";"Licensors";"Studios";"Source";"Duration";"Image URL"
"Echo";"UNKNOWN";"Echo";"Action";"Music video for the song Echo by THE BOYZ. Serves as a promo for Solo Leveling manhwa.";"Music";"1";"2022/03/02";"2022.0";"Finished Airing";"UNKNOWN";"UNKNOWN";"UNKNOWN";"Manga";"3";"https://cdn.myanimelist.net/images/anime/1257/121634.jpg"
"Shinkalion Hello Kitty";"UNKNOWN";"シンカリオン ハローキティ";"Action, Sci-Fi";"Crossover between Shinkansen Henkei Robo Shinkalion and Hello Kitty.";"ONA";"1";"2020/02/27";"2020.0";"Finished Airing";"UNKNOWN";"UNKNOWN";"UNKNOWN";"Other";"2";"https://cdn.myanimelist.net/images/anime/1917/121638.jpg"
"Tokyo Lights";"UNKNOWN";"Tokyo Lights";"UNKNOWN";"Music video for the song Tokyo Lights by YUKIKA.";"Music";"1";"2021/09/30";"2021.0";"Finished Airing";"Universal Music Japan";"UNKNOWN";"UNKNOWN";"Original";"3";"https://cdn.myanimelist.net/images/anime/1346/121652.jpg"
"Xin Shen Bang: Yang Jian";"New Gods: Yang Jian";"新神榜：杨戬";"Action, Adventure, Fantasy";"Thirteen years after Yang Jian (known to some as Erlang Shen) imprisoned his sister beneath a mountain, the once powerful god now scrapes by as a penniless bounty hunter. When a mysterious woman hires him for a new job, Yang Jian soon finds himself chasing down a familiar figure. He must stop Chenxiang, his long-lost nephew, who is in search of the magical lotus lantern that will free his mother, even if it will bring catastrophe. As Yang Jian confronts the actions of his past, he must face a host of dangerous vigilantes seeking the same treasure with the power to alter the balance of their worlds.

(Source: Movie Insider)";"Movie";"1";"2022/08/19";"2022.0";"Finished Airing";"GKIDS, bilibili";"UNKNOWN";"Light Chaser Animation Studios";"Original";"127";"https://cdn.myanimelist.net/images/anime/1473/126467.jpg"
"Shen Yin Wangzuo";"Throne of Seal";"神印王座";"Action, Adventure, Fantasy";"Six thousand years ago, mankind's glorious reign ended as a result of an invasion of the demon race, brought about by the emergence of 72 demon gods. To safeguard the remnants of humanity, the Alliance of Temples appeared to stop the demons' progress and temporarily stabilize the situation.

At present, nine-year-old Long Hao Chen is training to become a part of the Knight Temple Hall. Through sheer dedication and the support of his companions, he passes the knight exam. Now, under the tutelage of his teacher Long Xing Yu, Long Hao Chen endures the Holy Resurrection Ritual to ascertain his capability. The ritual reveals that Long Hao Chen is a Son of Light—an individual who possesses a vast amount of spiritual energy.

Recognizing his disciple's promising potential, Long Xing Yu urges Long Hao Chen to become a strong knight capable of defeating the Demon Lord alongside him. With countless challenges awaiting him, Long Hao Chen may be the warrior that can end the era of darkness.";"ONA";"26";"2022/04/28";"2022.0";"Finished Airing";"Tencent Penguin Pictures, Xuanshi Tangmen, Tianshi Wenhua, China South Angel";"UNKNOWN";"Shenman Entertainment";"Web novel";"21";"https://cdn.myanimelist.net/images/anime/1776/122162.jpg"
"Echigo Bakufu";"UNKNOWN";"越後幕府";"Comedy, Fantasy";"Short anime that aired as part of Niigata Sogo Television's variety program GataTube (潟ちゅーぶ).";"Special";"0";"2022/03/19";"2022.0";"Currently Airing";"UNKNOWN";"UNKNOWN";"UNKNOWN";"Web manga";"2";"https://cdn.myanimelist.net/images/anime/1221/122218.jpg"
"Kisaku Reiwa";"UNKNOWN";"鬼作 令和版";"Comedy, Hentai";"No description available for this anime.";"OVA";"1";"2022/08/26";"2022.0";"Finished Airing";"Pink Pineapple";"UNKNOWN";"Seven";"Visual novel";"25";"https://cdn.myanimelist.net/images/anime/1150/121668.jpg"
"Arifureta Shokugyou de Sekai Saikyou 2nd Season Picture Drama";"Arifureta: From Commonplace to World's Strongest Season 2 Picture Drama";"ありふれた職業で世界最強 ピクチャードラマ";"Comedy, Fantasy";"An online motion graphic spin-off series that provides a comedic interpretation of events that have occurred in conjunction with the Anime. These episodes were originally posted on the series' official Twitter page on a weekly basis that coincided with the debut of each of the anime's episodes, and were later included in the Blu-ray BOX sets. The voice cast for the Picture Dramas is the same as the Anime cast.

(Source: Arifureta Wiki)";"ONA";"12";"2022/01/13";"2022.0";"Finished Airing";"UNKNOWN";"UNKNOWN";"UNKNOWN";"Light novel";"1";"https://cdn.myanimelist.net/images/anime/1201/121675.jpg"
"Last Live";"UNKNOWN";"ラストリヴ";"UNKNOWN";"Music video for the song Last Live by Yuu Miyashita.";"Music";"1";"2022/03/16";"2022.0";"Finished Airing";"UNKNOWN";"UNKNOWN";"UNKNOWN";"Original";"3";"https://cdn.myanimelist.net/images/anime/1553/121676.jpg"
"Parasite Piano";"UNKNOWN";"パラサイトピアノ";"UNKNOWN";"Music video for the song Parasite Piano by Yuu Miyashita.";"Music";"1";"2022/02/12";"2022.0";"Finished Airing";"UNKNOWN";"UNKNOWN";"UNKNOWN";"Original";"3";"https://cdn.myanimelist.net/images/anime/1978/121677.jpg"
